IRIG Time	ARC_DECOM_STREAM_1: LEP MCP	ARC_DECOM_STREAM_1: LEP Mesh	ARC_DECOM_STREAM_1: LEP SvFix	ARC_DECOM_STREAM_1: LEP Sweep	
22:03:59.810737	17	1980	58	69	
22:03:59.832855	0	2301	0	39	
22:03:59.854974	33	2044	0	0	
22:03:59.877092	0	2031	0	0	
22:03:59.899211	34	2150	0	37	
22:03:59.921329	34	1981	12	22	
22:03:59.943447	0	1768	0	22	
22:03:59.965565	0	1944	0	23	
22:03:59.987684	83	1907	55	0	
22:04:00.009802	4	1939	0	51	
22:04:00.031920	66	1904	46	25	
22:04:00.054039	11	2090	0	34	
22:04:00.076157	24	2171	0	56	
22:04:00.098276	19	2088	0	26	
22:04:00.120394	35	2003	0	41	
22:04:00.142512	14	2135	34	0	
22:04:00.164630	42	2072	16	0	
22:04:00.186749	0	2026	0	0	
22:04:00.208867	15	2009	14	0	
22:04:00.230986	45	2221	43	42	
22:04:00.253104	80	2047	0	12	
22:04:00.275222	54	2018	26	17	
22:04:00.297341	41	1965	30	12	
22:04:00.319459	63	1904	0	24	
22:04:00.341577	85	1926	0	33	
22:04:00.363696	28	2017	0	0	
22:04:00.385814	0	1970	34	14	
22:04:00.407933	19	1993	13	8	
22:04:00.430050	11	2090	0	18	
22:04:00.452169	2	2199	52	19	
22:04:00.474287	6	2207	47	33	
22:04:00.496405	47	2066	7	0	
22:04:00.518524	16	1986	0	25	
22:04:00.540642	8	2041	0	30	
22:04:00.562761	18	1821	19	18	
22:04:00.584879	7	2201	67	4	
22:04:00.606997	54	2090	60	22	
22:04:00.629116	73	2082	7	0	
22:04:00.651234	29	2014	35	23	
22:04:00.673352	30	2071	0	0	
22:04:00.695471	48	1986	0	27	
22:04:00.717589	0	1886	12	38	
22:04:00.739708	54	2031	0	15	
22:04:00.761826	13	1970	16	76	
22:04:00.783944	34	2007	0	4	
22:04:00.806063	39	2040	13	0	
22:04:00.828181	0	2156	0	25	
22:04:00.850299	77	1840	0	24	
22:04:00.872418	32	2264	32	0	
22:04:00.894536	0	2050	79	34	
22:04:00.916654	38	2089	35	17	
22:04:00.938773	0	2041	9	48	
22:04:00.960891	53	1958	23	29	
22:04:00.983009	20	2004	21	46	
22:04:01.005127	9	2094	0	0	
22:04:01.027246	30	2082	77	0	
22:04:01.049365	14	2163	54	69	
22:04:01.071483	7	1914	0	29	
22:04:01.093601	0	2145	96	31	
22:04:01.115719	51	2027	0	0	
22:04:01.137838	26	2037	21	37	
22:04:01.159956	46	1959	38	0	
22:04:01.182074	1	1948	36	36	
22:04:01.204192	50	2110	19	34	
22:04:01.226311	33	2135	0	15	
22:04:01.248430	0	2121	2	20	
22:04:01.270548	6	2155	33	20	
22:04:01.292666	53	2239	3	17	
22:04:01.314784	20	2065	11	13	
22:04:01.336903	38	2002	21	0	
22:04:01.359022	0	1969	25	13	
22:04:01.381139	21	2192	74	64	
22:04:01.403258	0	2128	33	1	
22:04:01.425376	51	2075	0	13	
22:04:01.447495	0	2055	31	45	
22:04:01.469613	0	2090	0	24	
22:04:01.491731	0	2027	68	5	
22:04:01.513850	83	2049	0	25	
22:04:01.535968	42	2047	0	53	
22:04:01.558087	25	2078	139	17	
22:04:01.580204	26	2037	49	10	
22:04:01.602323	133	1931	7	15	
22:04:01.624442	72	2003	0	27	
22:04:01.646560	0	2119	68	0	
22:04:01.668678	53	2070	13	3	
22:04:01.690797	3	2141	0	16	
22:04:01.712915	11	2146	32	32	
22:04:01.735033	0	1996	0	26	
22:04:01.757152	28	2124	0	76	
22:04:01.779270	12	1974	59	30	
22:04:01.801388	27	1905	0	0	
22:04:01.823507	51	2271	0	4	
22:04:01.845625	40	2144	0	0	
22:04:01.867743	9	2040	22	53	
22:04:01.889861	46	2025	4	22	
22:04:01.911980	17	2126	28	20	
22:04:01.934099	23	2049	0	65	
22:04:01.956216	26	2202	38	0	
22:04:01.978335	0	2008	0	50	
22:04:02.000453	27	2005	0	41	
22:04:02.022572	2	2043	0	23	
22:04:02.044690	0	2081	145	53	
22:04:02.066808	80	2046	28	10	
22:04:02.088927	38	2234	0	0	
22:04:02.111045	20	2187	23	45	
22:04:02.133163	25	1736	42	0	
22:04:02.155281	41	2035	32	0	
22:04:02.177400	28	2047	0	0	
22:04:02.199518	38	1942	25	22	
22:04:02.221637	15	2063	0	8	
22:04:02.243755	47	2005	21	52	
22:04:02.265873	8	2082	0	11	
22:04:02.287992	57	1982	18	0	
22:04:02.310110	1	2096	0	0	
22:04:02.332228	47	2177	0	13	
22:04:02.354347	20	2201	50	22	
22:04:02.376465	31	2008	33	19	
22:04:02.398584	1	2020	0	0	
22:04:02.420702	43	1936	155	51	
22:04:02.442820	158	2067	0	66	
22:04:02.464939	60	2158	0	13	
22:04:02.487057	51	1843	16	24	
22:04:02.509176	39	2119	0	30	
22:04:02.531293	42	2177	70	0	
22:04:02.553412	55	2039	69	4	
22:04:02.575530	36	2015	0	31	
22:04:02.597649	5	1978	0	24	
22:04:02.619767	65	2066	0	6	
22:04:02.641886	0	1972	26	14	
