#    Time  Long.axis      Spin1      Spin2
  12.5678 -0.9503566  0.2568850 -0.1755915
  12.6023 -0.9465332  0.3092662 -0.0918110
  12.6369 -0.9456319  0.3249824  0.0129165
  12.6714 -0.9426982  0.3171280  0.1036817
  12.7060 -0.9421562  0.2778452  0.1874664
  12.7406 -0.9444452  0.2045142  0.2572883
  12.7751 -0.9452662  0.1128487  0.3061649
  12.8114 -0.9425043  0.0080864  0.3340961
  12.8460 -0.9450337 -0.0940585  0.3131521
  12.8805 -0.9438976 -0.1883476  0.2712609
  12.9151 -0.9453609 -0.2616851  0.1944575
  12.9496 -0.9461875 -0.3088321  0.0967059
  12.9842 -0.9458346 -0.3245496 -0.0080298
  13.0188 -0.9460657 -0.3062178 -0.1057846
  13.0533 -0.9456454 -0.2590743 -0.1965585
  13.0879 -0.9447574 -0.1909760 -0.2663862
  13.1224 -0.9463683 -0.0966838 -0.3082844
  13.1570 -0.9489991 -0.0023901 -0.3152697
  13.1933 -0.9510197  0.0945246 -0.2943241
  13.2278 -0.9531336  0.1862021 -0.2384639
  13.2624 -0.9508930  0.2595458 -0.1686369
  13.2970 -0.9491646  0.3066968 -0.0708770
  13.3315 -0.9453197  0.3250352  0.0268846
  13.3661 -0.9445046  0.3067019  0.1176647
  13.4006 -0.9451968  0.2569350  0.2014632
  13.4352 -0.9453290  0.1809726  0.2712968
  13.4725 -0.9466261  0.0761945  0.3131987
  13.5085 -0.9469992 -0.0259659  0.3201848
  13.5430 -0.9469957 -0.1333672  0.2922540
  13.5776 -0.9464683 -0.2198137  0.2363890
  13.6122 -0.9462122 -0.2853051  0.1525892
  13.6467 -0.9451573 -0.3219819  0.0548208
  13.6813 -0.9450325 -0.3219846 -0.0569164
  13.7158 -0.9431023 -0.2905516 -0.1616717
  13.7504 -0.9422853 -0.2276819 -0.2454777
  13.7850 -0.9425718 -0.1438538 -0.3014373
  13.8195 -0.9431285 -0.0443059 -0.3294625
  13.8558 -0.9509766  0.0683423 -0.3016171
  13.8904 -0.9542094  0.1600344 -0.2527319
  13.9249 -0.9516891  0.2412489 -0.1899652
  13.9595 -0.9482937  0.3014736 -0.0992611
  13.9940 -0.9456910  0.3250218  0.0054127
  14.0286 -0.9452428  0.3118927  0.0961199
  14.0632 -0.9445592  0.2699448  0.1869161
  14.0977 -0.9463001  0.1965575  0.2566736
  14.1323 -0.9494690  0.0970024  0.2984949
  14.1682 -0.9451593 -0.0130670  0.3263481
  14.2028 -0.9442577 -0.1231383  0.3053102
  14.2373 -0.9454929 -0.2174917  0.2423645
  14.2719 -0.9443572 -0.2882339  0.1584638
  14.3065 -0.9442220 -0.3249169  0.0536075
  14.3410 -0.9429812 -0.3249198 -0.0722049
  14.3756 -0.9423319 -0.2882416 -0.1700803
  14.4101 -0.9424583 -0.2175014 -0.2539004
  14.4447 -0.9446881 -0.1257989 -0.3028845
  14.4793 -0.9482409 -0.0209940 -0.3168572
  14.5152 -0.9495606  0.0811927 -0.3028900
  14.5498 -0.9519809  0.1807609 -0.2470990
  14.5843 -0.9506602  0.2593364 -0.1702641
  14.6189 -0.9482566  0.3091234 -0.0724720
  14.6535 -0.9449646  0.3248150  0.0392051
  14.6880 -0.9428163  0.3038555  0.1370008
  14.7226 -0.9450842  0.2409379  0.2208273
  14.7571 -0.9468665  0.1518486  0.2835241
  14.7945 -0.9474512  0.0312806  0.3183674
  14.8304 -0.9444949 -0.0813958  0.3182830
  14.8650 -0.9448760 -0.1862457  0.2692987
  14.8995 -0.9455693 -0.2675136  0.1852973
  14.9341 -0.9448742 -0.3174029  0.0804243
  14.9686 -0.9429863 -0.3306064 -0.0384224
  15.0032 -0.9433596 -0.2992289 -0.1432992
  15.0378 -0.9412129 -0.2364373 -0.2412794
  15.0723 -0.9437833 -0.1447856 -0.2971704
  15.1069 -0.9449020 -0.0374415 -0.3252051
  15.1428 -0.9477271  0.0699374 -0.3113232
  15.1774 -0.9527442  0.1746650 -0.2485369
  15.2119 -0.9493447  0.2584948 -0.1786758
  15.2465 -0.9469958  0.3108781 -0.0809551
  15.2838 -0.9441025  0.3266055  0.0447135
  15.3184 -0.9420462  0.3003685  0.1494249
  15.3529 -0.9425218  0.2322317  0.2402523
  15.3903 -0.9469603  0.1247492  0.2961483
  15.4266 -0.9459767  0.0094022  0.3240982
  15.4611 -0.9464407 -0.1111561  0.3031408
  15.4957 -0.9445643 -0.2160242  0.2472486
  15.5302 -0.9446421 -0.2920974  0.1494335
  15.5648 -0.9438816 -0.3288584  0.0306556
  15.5994 -0.9426795 -0.3236852 -0.0811376
  15.6339 -0.9406517 -0.2791975 -0.1929328
  15.6685 -0.9382315 -0.1979824 -0.2837685
  15.7030 -0.9432589 -0.0932096 -0.3187076
  15.7376 -0.9451519  0.0246705 -0.3256980
  15.7735 -0.9490082  0.1373107 -0.2837767
  15.8081 -0.9499070  0.2342265 -0.2069170
  15.8427 -0.9477474  0.2997891 -0.1090932
  15.8772 -0.9435234  0.3312783 -0.0042799
  15.9118 -0.9410795  0.3182084  0.1145107
  15.9463 -0.9418124  0.2605782  0.2123403
  15.9809 -0.9448347  0.1662500  0.2822205
  16.0155 -0.9446325  0.0509502  0.3241506
  16.0517 -0.9475177 -0.0774582  0.3101781
  16.0863 -0.9463479 -0.1901743  0.2612650
  16.1209 -0.9444341 -0.2767123  0.1774104
  16.1554 -0.9433483 -0.3265860  0.0586133
  16.1900 -0.9427422 -0.3266876 -0.0671745
  16.2245 -0.9411589 -0.2821928 -0.1859764
  16.2591 -0.9410983 -0.2036514 -0.2699262
  16.2937 -0.9407190 -0.0936183 -0.3260113
  16.3296 -0.9473061  0.0268701 -0.3192009
  16.3642 -0.9477011  0.1447722 -0.2844358
  16.3987 -0.9501461  0.2442933 -0.1937607
  16.4333 -0.9459219  0.3098345 -0.0960951
  16.4679 -0.9415732  0.3360534  0.0225389
  16.5024 -0.9412719  0.3098407  0.1341864
  16.5370 -0.9428953  0.2390598  0.2319457
  16.5715 -0.9461281  0.1341960  0.2946744
  16.6075 -0.9441367  0.0083566  0.3294482
  16.6420 -0.9455639 -0.1227288  0.3014075
  16.6766 -0.9445975 -0.2328429  0.2313435
  16.7112 -0.9417117 -0.3088763  0.1333209
  16.7457 -0.9421834 -0.3350973  0.0004368
  16.7803 -0.9400844 -0.3141262 -0.1325373
  16.8148 -0.9379463 -0.2459615 -0.2444581
  16.8494 -0.9402439 -0.1463330 -0.3074542
  16.8840 -0.9442470 -0.0231054 -0.3284262
  16.9199 -0.9482130  0.1027465 -0.3005581
  16.9545 -0.9494636  0.2128694 -0.2306632
  16.9890 -0.9472972  0.2915307 -0.1328074
  17.0236 -0.9426515  0.3334858 -0.0139799
  17.0581 -0.9413345  0.3230012  0.0977728
  17.0927 -0.9418341  0.2626974  0.2096152
  17.1273 -0.9440994  0.1630609  0.2865092
  17.1618 -0.9462904  0.0345791  0.3214635
  17.1978 -0.9443447 -0.0965276  0.3144767
  17.2323 -0.9443574 -0.2119041  0.2515666
  17.2669 -0.9428122 -0.2958167  0.1536154
  17.3014 -0.9437837 -0.3299088  0.0207968
  17.3360 -0.9418533 -0.3168010 -0.1120245
  17.3706 -0.9402612 -0.2564919 -0.2238767
  17.4051 -0.9433473 -0.1542246 -0.2937867
  17.4397 -0.9438212 -0.0335987 -0.3287440
  17.4756 -0.9472260  0.0896522 -0.3077749
  17.5102 -0.9494092  0.2050385 -0.2378683
  17.5447 -0.9464430  0.2942030 -0.1330049
  17.5793 -0.9424977  0.3335429 -0.0211482
  17.6139 -0.9397665  0.3230566  0.1116846
  17.6484 -0.9417001  0.2574973  0.2165550
  17.6830 -0.9424009  0.1473536  0.3002789
  17.7189 -0.9444083  0.0214722  0.3280731
  17.7535 -0.9421771 -0.1175249  0.3138314
  17.7880 -0.9432588 -0.2329214  0.2366652
  17.8226 -0.9437345 -0.3063580  0.1245389
  17.8572 -0.9438649 -0.3299653 -0.0155566
  17.8917 -0.9423512 -0.3063645 -0.1345923
  17.9263 -0.9394600 -0.2303086 -0.2537180
  17.9608 -0.9428597 -0.1227779 -0.3097437
  17.9954 -0.9461317  0.0057373 -0.3237311
  18.0317 -0.9475306  0.1369111 -0.2888617
  18.0663 -0.9484260  0.2418265 -0.2049587
  18.1008 -0.9459598  0.3126470 -0.0860924
  18.1354 -0.9399889  0.3388796  0.0397690
  18.1699 -0.9408172  0.2995393  0.1585534
  18.2045 -0.9422030  0.2156078  0.2564503
  18.2391 -0.9431159  0.0923295  0.3193865
  18.2750 -0.9439504 -0.0493129  0.3263829
  18.3096 -0.9420570 -0.1778432  0.2844301
  18.3441 -0.9450970 -0.2775225  0.1725481
  18.3787 -0.9434116 -0.3272665  0.0535832
  18.4132 -0.9419147 -0.3245814 -0.0862760
  18.4478 -0.9416686 -0.2667769 -0.2051591
  18.4824 -0.9421578 -0.1696230 -0.2890792
